latitude,longitude,index
-23,-48,0.463
-23,-47,0.55
-23,-46,0.605
-23,-45,0.577
-23,-44,0.672
-23,-43,0.719
-23,15,0.101
-23,16,0.085
-23,17,0.164
-23,18,0.172
-23,19,0.172
-23,20,0.191
-23,21,0.207
-23,22,0.191
-23,23,0.223
-23,24,0.203
-23,25,0.207
-23,26,0.227
-23,27,0.258
-23,28,0.266
-23,29,0.254
-23,30,0.254
-23,31,0.274
-23,32,0.329
-23,33,0.325
-23,34,0.341
-23,35,0.451
-23,44,0.333
-23,45,0.282
-23,46,0.27
-23,47,0.266
-23,48,0.617
-23,115,0.191
-23,116,0.187
-23,117,0.156
-23,118,0.136
-23,119,0.187
-23,120,0.152
-23,121,0.148
-23,122,0.152
-23,123,0.187
-23,124,0.18
-23,125,0.156
-23,126,0.152
-23,127,0.144
-23,128,0.183
-23,129,0.042
-23,130,0.168
-23,131,0.16
-23,132,0.176
-23,133,0.215
-23,134,0.168
-23,135,0.199
-23,136,0.203
-23,137,0.25
-23,138,0.191
-23,139,0.215
-23,140,0.191
-23,141,0.187
-23,142,0.168
-23,143,0.168
-23,144,0.144
-23,145,0.191
-23,146,0.254
-23,147,0.317
-23,148,0.274
-23,149,0.274
-23,150,0.349
-22,-70,0.069
-22,-69,0.069
-22,-68,0.109
-22,-67,0.18
-22,-66,0.105
-22,-65,0.278
-22,-64,0.487
-22,-63,0.542
-22,-62,0.321
-22,-61,0.443
-22,-60,0.569
-22,-59,0.62
-22,-58,0.483
-22,-57,0.388
-22,-56,0.396
-22,-55,0.42
-22,-54,0.424
-22,-53,0.428
-22,-52,0.475
-22,-51,0.451
-22,-50,0.38
-22,-49,0.451
-22,-48,0.53
-22,-47,0.557
-22,-46,0.447
-22,-45,0.483
-22,-44,0.601
-22,-43,0.431
-22,-42,0.424
-22,15,0.077
-22,16,0.132
-22,17,0.187
-22,18,0.223
-22,19,0.215
-22,20,0.211
-22,21,0.18
-22,22,0.223
-22,23,0.187
-22,24,0.18
-22,25,0.262
-22,26,0.239
-22,27,0.258
-22,28,0.25
-22,29,0.294
-22,30,0.254
-22,31,0.306
